DATE,DOWNLOADS,Rating Count,Content rating,Ad Supported,Last Updated,Size,Minimum Android
2020-02-09,116519,378,EVERYONE,TRUE,2020-02-07,30.6,4.2
2020-02-10,117708,289,EVERYONE,TRUE,2020-02-09,30.6,4.2
2020-02-11,105448,336,EVERYONE,TRUE,2020-02-09,30.6,4.2
2020-02-12,133722,334,EVERYONE,TRUE,2020-02-11,30.6,4.2
2020-02-13,129771,269,EVERYONE,TRUE,2020-02-11,30.6,4.2
2020-02-14,108738,218,EVERYONE,TRUE,2020-02-11,30.6,4.2
2020-02-15,122044,153,EVERYONE,TRUE,2020-02-11,30.6,4.2
2020-02-16,109659,218,EVERYONE,TRUE,2020-02-15,30.6,4.2
2020-02-17,128983,247,EVERYONE,TRUE,2020-02-15,30.6,4.2
2020-02-18,149784,272,EVERYONE,TRUE,2020-02-15,30.6,4.2
2020-02-19,153289,222,EVERYONE,TRUE,2020-02-15,30.6,4.2
2020-02-20,161641,172,EVERYONE,TRUE,2020-02-15,30.6,4.2
2020-02-21,154653,124,EVERYONE,TRUE,2020-02-15,30.6,4.2
2020-02-22,133781,333,EVERYONE,TRUE,2020-02-15,30.6,4.2
2020-02-23,146284,134,EVERYONE,TRUE,2020-02-15,30.6,4.2
2020-02-24,133898,145,EVERYONE,TRUE,2020-02-15,30.6,4.2
2020-02-25,138206,211,EVERYONE,TRUE,2020-02-15,30.6,4.2
2020-02-26,154693,177,EVERYONE,TRUE,2020-02-15,30.6,4.2
2020-02-27,76465,305,EVERYONE,TRUE,2020-02-15,30.6,4.2
2020-02-28,118620,151,EVERYONE,TRUE,2020-02-15,30.6,4.2
2020-02-29,118962,283,EVERYONE,TRUE,2020-02-15,30.6,4.2
2020-03-01,118488,160,EVERYONE,TRUE,2020-02-15,30.6,4.2
2020-03-02,121163,371,EVERYONE,TRUE,2020-02-15,30.6,4.2
2020-03-03,126248,277,EVERYONE,TRUE,2020-02-15,30.6,4.2
2020-03-04,111477,362,EVERYONE,TRUE,2020-02-15,30.6,4.2
2020-03-05,110537,337,EVERYONE,TRUE,2020-02-15,30.6,4.2
2020-03-06,112658,543,EVERYONE,TRUE,2020-02-15,30.6,4.2
2020-03-07,110211,716,EVERYONE,TRUE,2020-03-06,30.6,4.2
2020-03-08,109816,960,EVERYONE,TRUE,2020-03-06,30.6,4.2
2020-03-09,110154,664,EVERYONE,TRUE,2020-03-06,30.6,4.2
2020-03-10,108804,794,EVERYONE,TRUE,2020-03-06,30.6,4.2
2020-03-11,116259,1156,EVERYONE,TRUE,2020-03-06,30.6,4.2
2020-03-12,115624,608,EVERYONE,TRUE,2020-03-06,30.6,4.2
2020-03-13,112930,476,EVERYONE,TRUE,2020-03-06,30.6,4.2
2020-03-14,100451,2439,EVERYONE,TRUE,2020-03-06,30.6,4.2
2020-03-15,110207,2932,EVERYONE,TRUE,2020-03-06,30.6,4.2
2020-03-16,116723,3689,EVERYONE,TRUE,2020-03-06,30.6,4.2
2020-03-17,117627,2889,EVERYONE,TRUE,2020-03-06,30.6,4.2
2020-03-18,113509,2720,EVERYONE,TRUE,2020-03-06,30.6,4.2
2020-03-19,116280,1317,EVERYONE,TRUE,2020-03-06,30.6,4.2
2020-03-20,118600,12187,EVERYONE,TRUE,2020-03-19,31.1,4.2
2020-03-21,113093,12227,EVERYONE,TRUE,2020-03-19,31.1,4.2
2020-03-22,101822,17093,EVERYONE,TRUE,2020-03-19,31.1,4.2
2020-03-23,102283,9379,EVERYONE,TRUE,2020-03-19,31.1,4.2
2020-03-24,103714,5982,EVERYONE,TRUE,2020-03-23,31.1,4.2
2020-03-25,102648,9787,EVERYONE,TRUE,2020-03-23,31.1,4.2
2020-03-26,107589,6598,EVERYONE,TRUE,2020-03-23,31.1,4.2
2020-03-27,95075,5500,EVERYONE,TRUE,2020-03-23,31.1,4.2
2020-03-28,97861,4327,EVERYONE,TRUE,2020-03-27,31.1,4.2
2020-03-29,87686,2693,EVERYONE,TRUE,2020-03-27,31.1,4.2
2020-03-30,98165,5999,EVERYONE,TRUE,2020-03-27,31.1,4.2
2020-03-31,97960,4416,EVERYONE,TRUE,2020-03-27,31.1,4.2
2020-04-01,90069,4197,EVERYONE,TRUE,2020-03-27,31.1,4.2
2020-04-02,96910,3521,EVERYONE,TRUE,2020-03-27,31.1,4.2
2020-04-03,97411,2688,EVERYONE,TRUE,2020-03-27,31.1,4.2
